CLIENT_ID,METRIC,VALUE
108139,UNIQUE_STOCKOUT_DRUGS,157.0
108139,UNIQUE_SUBSTITUTES,204.0
108139,TOTAL_PAIRS,2521.0
108139,TOTAL_LIFT,6700.38672448
108139,AVG_SUBSTITUTE_SHARE,6.227687425624752
108139,MEDIAN_SUBSTITUTE_SHARE,2.206633491093741
108139,LIFT_SAME_NFC1,5144.669426959999
108139,LIFT_DIFF_NFC1,1555.71729752
108139,SHARE_SAME_NFC1_PERCENT,76.78167900613624
108139,COUNT_SHARE_100,8.0
108139,COUNT_SHARE_50_99,21.0
108139,COUNT_SHARE_25_49,109.0
108139,COUNT_SHARE_10_24,301.0
108139,COUNT_SHARE_BELOW_10,2082.0
