CLIENT_ID,METRIC,VALUE
129455,UNIQUE_STOCKOUT_DRUGS,140.0
129455,UNIQUE_SUBSTITUTES,182.0
129455,TOTAL_PAIRS,2151.0
129455,TOTAL_LIFT,17597.56866931
129455,AVG_SUBSTITUTE_SHARE,6.508600650860065
129455,MEDIAN_SUBSTITUTE_SHARE,2.3323660815871508
129455,LIFT_SAME_NFC1,12624.753445139999
129455,LIFT_DIFF_NFC1,4972.81522417
129455,SHARE_SAME_NFC1_PERCENT,71.74146430329012
129455,COUNT_SHARE_100,7.0
129455,COUNT_SHARE_50_99,27.0
129455,COUNT_SHARE_25_49,99.0
129455,COUNT_SHARE_10_24,231.0
129455,COUNT_SHARE_BELOW_10,1787.0
