CLIENT_ID,METRIC,VALUE
28753,UNIQUE_STOCKOUT_DRUGS,82.0
28753,UNIQUE_SUBSTITUTES,105.0
28753,TOTAL_PAIRS,395.0
28753,TOTAL_LIFT,1991.5697247900002
28753,AVG_SUBSTITUTE_SHARE,20.759493670886076
28753,MEDIAN_SUBSTITUTE_SHARE,10.118130386437302
28753,LIFT_SAME_NFC1,1645.95086834
28753,LIFT_DIFF_NFC1,345.61885644999995
28753,SHARE_SAME_NFC1_PERCENT,82.645907288712
28753,COUNT_SHARE_100,17.0
28753,COUNT_SHARE_50_99,28.0
28753,COUNT_SHARE_25_49,70.0
28753,COUNT_SHARE_10_24,86.0
28753,COUNT_SHARE_BELOW_10,194.0
