CLIENT_ID,METRIC,VALUE
416188,UNIQUE_STOCKOUT_DRUGS,181.0
416188,UNIQUE_SUBSTITUTES,232.0
416188,TOTAL_PAIRS,2712.0
416188,TOTAL_LIFT,21449.42128099
416188,AVG_SUBSTITUTE_SHARE,6.674041297935103
416188,MEDIAN_SUBSTITUTE_SHARE,2.619498646819389
416188,LIFT_SAME_NFC1,14331.34975473
416188,LIFT_DIFF_NFC1,7118.07152626
416188,SHARE_SAME_NFC1_PERCENT,66.81462202167413
416188,COUNT_SHARE_100,8.0
416188,COUNT_SHARE_50_99,42.0
416188,COUNT_SHARE_25_49,124.0
416188,COUNT_SHARE_10_24,267.0
416188,COUNT_SHARE_BELOW_10,2271.0
