CLIENT_ID,METRIC,VALUE
493281,UNIQUE_STOCKOUT_DRUGS,117.0
493281,UNIQUE_SUBSTITUTES,164.0
493281,TOTAL_PAIRS,1560.0
493281,TOTAL_LIFT,5777.8839739800005
493281,AVG_SUBSTITUTE_SHARE,7.5
493281,MEDIAN_SUBSTITUTE_SHARE,2.563369038824531
493281,LIFT_SAME_NFC1,4452.81543695
493281,LIFT_DIFF_NFC1,1325.06853703
493281,SHARE_SAME_NFC1_PERCENT,77.06654299398733
493281,COUNT_SHARE_100,15.0
493281,COUNT_SHARE_50_99,29.0
493281,COUNT_SHARE_25_49,67.0
493281,COUNT_SHARE_10_24,172.0
493281,COUNT_SHARE_BELOW_10,1277.0
