PHARM_ID,DRUGS_ID,Date,Q,V,DRUGS_NAME,INN_NAME,INN_ID,NFC1_ID,NFC_ID,NOTSOLD_PERCENT,MARKET_TOTAL_DRUGS_PACK,MARKET_TOTAL_DRUGS_REVENUE
28753,813369,2024-04-08,0.0,0.0,"ЭДОКСАКОРД, Киевский витаминный завод АО (Украина, Киев), табл. п/плен. оболочкой 60 мг блистер, #30",ЭДОКСАБАН,790221.0,Пероральные твердые обычные,"Таблетки, покрытые оболочкой",0.8141592920353983,0.0,0.0
28753,813369,2024-04-15,0.0,0.0,"ЭДОКСАКОРД, Киевский витаминный завод АО (Украина, Киев), табл. п/плен. оболочкой 60 мг блистер, #30",ЭДОКСАБАН,790221.0,Пероральные твердые обычные,"Таблетки, покрытые оболочкой",0.8141592920353983,1.23,867.5300000000001
28753,813369,2024-04-22,1.0,848.4,"ЭДОКСАКОРД, Киевский витаминный завод АО (Украина, Киев), табл. п/плен. оболочкой 60 мг блистер, #30",ЭДОКСАБАН,790221.0,Пероральные твердые обычные,"Таблетки, покрытые оболочкой",0.8141592920353983,0.0,0.0
28753,813369,2024-04-29,0.0,0.0,"ЭДОКСАКОРД, Киевский витаминный завод АО (Украина, Киев), табл. п/плен. оболочкой 60 мг блистер, #30",ЭДОКСАБАН,790221.0,Пероральные твердые обычные,"Таблетки, покрытые оболочкой",0.8141592920353983,1.0,771.09
28753,813369,2024-05-06,0.0,0.0,"ЭДОКСАКОРД, Киевский витаминный завод АО (Украина, Киев), табл. п/плен. оболочкой 60 мг блистер, #30",ЭДОКСАБАН,790221.0,Пероральные твердые обычные,"Таблетки, покрытые оболочкой",0.8141592920353983,0.99,718.69
28753,813369,2024-05-13,0.0,0.0,"ЭДОКСАКОРД, Киевский витаминный завод АО (Украина, Киев), табл. п/плен. оболочкой 60 мг блистер, #30",ЭДОКСАБАН,790221.0,Пероральные твердые обычные,"Таблетки, покрытые оболочкой",0.8141592920353983,0.9800000000000001,682.8
28753,813369,2024-05-20,0.0,0.0,"ЭДОКСАКОРД, Киевский витаминный завод АО (Украина, Киев), табл. п/плен. оболочкой 60 мг блистер, #30",ЭДОКСАБАН,790221.0,Пероральные твердые обычные,"Таблетки, покрытые оболочкой",0.8141592920353983,0.84,539.52
28753,813369,2024-05-27,0.0,0.0,"ЭДОКСАКОРД, Киевский витаминный завод АО (Украина, Киев), табл. п/плен. оболочкой 60 мг блистер, #30",ЭДОКСАБАН,790221.0,Пероральные твердые обычные,"Таблетки, покрытые оболочкой",0.8141592920353983,0.56,417.7
28753,813369,2024-06-03,0.0,0.0,"ЭДОКСАКОРД, Киевский витаминный завод АО (Украина, Киев), табл. п/плен. оболочкой 60 мг блистер, #30",ЭДОКСАБАН,790221.0,Пероральные твердые обычные,"Таблетки, покрытые оболочкой",0.8141592920353983,3.63,2535.13
28753,813369,2024-06-10,1.0,848.4,"ЭДОКСАКОРД, Киевский витаминный завод АО (Украина, Киев), табл. п/плен. оболочкой 60 мг блистер, #30",ЭДОКСАБАН,790221.0,Пероральные твердые обычные,"Таблетки, покрытые оболочкой",0.8141592920353983,0.66,478.72
28753,813369,2024-06-17,0.0,0.0,"ЭДОКСАКОРД, Киевский витаминный завод АО (Украина, Киев), табл. п/плен. оболочкой 60 мг блистер, #30",ЭДОКСАБАН,790221.0,Пероральные твердые обычные,"Таблетки, покрытые оболочкой",0.8141592920353983,2.83,1993.8400000000001
28753,813369,2024-06-24,0.0,0.0,"ЭДОКСАКОРД, Киевский витаминный завод АО (Украина, Киев), табл. п/плен. оболочкой 60 мг блистер, #30",ЭДОКСАБАН,790221.0,Пероральные твердые обычные,"Таблетки, покрытые оболочкой",0.8141592920353983,0.48,316.06
28753,813369,2024-07-01,0.0,0.0,"ЭДОКСАКОРД, Киевский витаминный завод АО (Украина, Киев), табл. п/плен. оболочкой 60 мг блистер, #30",ЭДОКСАБАН,790221.0,Пероральные твердые обычные,"Таблетки, покрытые оболочкой",0.8141592920353983,2.1900000000000004,1604.5700000000002
28753,813369,2024-07-08,0.0,0.0,"ЭДОКСАКОРД, Киевский витаминный завод АО (Украина, Киев), табл. п/плен. оболочкой 60 мг блистер, #30",ЭДОКСАБАН,790221.0,Пероральные твердые обычные,"Таблетки, покрытые оболочкой",0.8141592920353983,2.05,1357.9299999999998
28753,813369,2024-07-15,0.0,0.0,"ЭДОКСАКОРД, Киевский витаминный завод АО (Украина, Киев), табл. п/плен. оболочкой 60 мг блистер, #30",ЭДОКСАБАН,790221.0,Пероральные твердые обычные,"Таблетки, покрытые оболочкой",0.8141592920353983,1.9900000000000002,1323.8400000000001
28753,813369,2024-07-22,0.0,0.0,"ЭДОКСАКОРД, Киевский витаминный завод АО (Украина, Киев), табл. п/плен. оболочкой 60 мг блистер, #30",ЭДОКСАБАН,790221.0,Пероральные твердые обычные,"Таблетки, покрытые оболочкой",0.8141592920353983,1.08,712.0500000000001
28753,813369,2024-07-29,0.0,0.0,"ЭДОКСАКОРД, Киевский витаминный завод АО (Украина, Киев), табл. п/плен. оболочкой 60 мг блистер, #30",ЭДОКСАБАН,790221.0,Пероральные твердые обычные,"Таблетки, покрытые оболочкой",0.8141592920353983,0.79,577.99
28753,813369,2024-08-05,0.0,0.0,"ЭДОКСАКОРД, Киевский витаминный завод АО (Украина, Киев), табл. п/плен. оболочкой 60 мг блистер, #30",ЭДОКСАБАН,790221.0,Пероральные твердые обычные,"Таблетки, покрытые оболочкой",0.8141592920353983,2.27,1623.77
28753,813369,2024-08-12,1.0,848.4,"ЭДОКСАКОРД, Киевский витаминный завод АО (Украина, Киев), табл. п/плен. оболочкой 60 мг блистер, #30",ЭДОКСАБАН,790221.0,Пероральные твердые обычные,"Таблетки, покрытые оболочкой",0.8141592920353983,0.65,431.86
28753,813369,2024-08-19,0.0,0.0,"ЭДОКСАКОРД, Киевский витаминный завод АО (Украина, Киев), табл. п/плен. оболочкой 60 мг блистер, #30",ЭДОКСАБАН,790221.0,Пероральные твердые обычные,"Таблетки, покрытые оболочкой",0.8141592920353983,0.5,376.09
28753,813369,2024-08-26,0.0,0.0,"ЭДОКСАКОРД, Киевский витаминный завод АО (Украина, Киев), табл. п/плен. оболочкой 60 мг блистер, #30",ЭДОКСАБАН,790221.0,Пероральные твердые обычные,"Таблетки, покрытые оболочкой",0.8141592920353983,1.1,786.09
28753,813369,2024-09-02,0.0,0.0,"ЭДОКСАКОРД, Киевский витаминный завод АО (Украина, Киев), табл. п/плен. оболочкой 60 мг блистер, #30",ЭДОКСАБАН,790221.0,Пероральные твердые обычные,"Таблетки, покрытые оболочкой",0.8141592920353983,1.48,1130.35
28753,813369,2024-09-09,0.0,0.0,"ЭДОКСАКОРД, Киевский витаминный завод АО (Украина, Киев), табл. п/плен. оболочкой 60 мг блистер, #30",ЭДОКСАБАН,790221.0,Пероральные твердые обычные,"Таблетки, покрытые оболочкой",0.8141592920353983,1.23,870.85
28753,813369,2024-09-16,0.0,0.0,"ЭДОКСАКОРД, Киевский витаминный завод АО (Украина, Киев), табл. п/плен. оболочкой 60 мг блистер, #30",ЭДОКСАБАН,790221.0,Пероральные твердые обычные,"Таблетки, покрытые оболочкой",0.8141592920353983,0.92,733.3399999999999
28753,813369,2024-09-23,0.0,0.0,"ЭДОКСАКОРД, Киевский витаминный завод АО (Украина, Киев), табл. п/плен. оболочкой 60 мг блистер, #30",ЭДОКСАБАН,790221.0,Пероральные твердые обычные,"Таблетки, покрытые оболочкой",0.8141592920353983,1.37,966.0300000000001
28753,813369,2024-09-30,0.0,0.0,"ЭДОКСАКОРД, Киевский витаминный завод АО (Украина, Киев), табл. п/плен. оболочкой 60 мг блистер, #30",ЭДОКСАБАН,790221.0,Пероральные твердые обычные,"Таблетки, покрытые оболочкой",0.8141592920353983,1.62,1282.9099999999999
28753,813369,2024-10-07,0.0,0.0,"ЭДОКСАКОРД, Киевский витаминный завод АО (Украина, Киев), табл. п/плен. оболочкой 60 мг блистер, #30",ЭДОКСАБАН,790221.0,Пероральные твердые обычные,"Таблетки, покрытые оболочкой",0.8141592920353983,0.0,0.0
28753,813369,2024-10-14,1.0,903.5,"ЭДОКСАКОРД, Киевский витаминный завод АО (Украина, Киев), табл. п/плен. оболочкой 60 мг блистер, #30",ЭДОКСАБАН,790221.0,Пероральные твердые обычные,"Таблетки, покрытые оболочкой",0.8141592920353983,1.44,1087.55
28753,813369,2024-10-21,0.0,0.0,"ЭДОКСАКОРД, Киевский витаминный завод АО (Украина, Киев), табл. п/плен. оболочкой 60 мг блистер, #30",ЭДОКСАБАН,790221.0,Пероральные твердые обычные,"Таблетки, покрытые оболочкой",0.8141592920353983,0.24,199.42
28753,813369,2024-10-28,0.0,0.0,"ЭДОКСАКОРД, Киевский витаминный завод АО (Украина, Киев), табл. п/плен. оболочкой 60 мг блистер, #30",ЭДОКСАБАН,790221.0,Пероральные твердые обычные,"Таблетки, покрытые оболочкой",0.8141592920353983,0.61,512.34
28753,813369,2024-11-04,0.0,0.0,"ЭДОКСАКОРД, Киевский витаминный завод АО (Украина, Киев), табл. п/плен. оболочкой 60 мг блистер, #30",ЭДОКСАБАН,790221.0,Пероральные твердые обычные,"Таблетки, покрытые оболочкой",0.8141592920353983,2.99,2303.46
28753,813369,2024-11-11,1.0,923.6,"ЭДОКСАКОРД, Киевский витаминный завод АО (Украина, Киев), табл. п/плен. оболочкой 60 мг блистер, #30",ЭДОКСАБАН,790221.0,Пероральные твердые обычные,"Таблетки, покрытые оболочкой",0.8141592920353983,1.06,904.35
28753,813369,2024-11-18,0.0,0.0,"ЭДОКСАКОРД, Киевский витаминный завод АО (Украина, Киев), табл. п/плен. оболочкой 60 мг блистер, #30",ЭДОКСАБАН,790221.0,Пероральные твердые обычные,"Таблетки, покрытые оболочкой",0.8141592920353983,1.9400000000000002,1430.92
28753,813369,2024-11-25,0.0,0.0,"ЭДОКСАКОРД, Киевский витаминный завод АО (Украина, Киев), табл. п/плен. оболочкой 60 мг блистер, #30",ЭДОКСАБАН,790221.0,Пероральные твердые обычные,"Таблетки, покрытые оболочкой",0.8141592920353983,0.0,0.0
28753,813369,2024-12-02,0.0,0.0,"ЭДОКСАКОРД, Киевский витаминный завод АО (Украина, Киев), табл. п/плен. оболочкой 60 мг блистер, #30",ЭДОКСАБАН,790221.0,Пероральные твердые обычные,"Таблетки, покрытые оболочкой",0.8141592920353983,1.54,1344.48
28753,813369,2024-12-09,0.0,0.0,"ЭДОКСАКОРД, Киевский витаминный завод АО (Украина, Киев), табл. п/плен. оболочкой 60 мг блистер, #30",ЭДОКСАБАН,790221.0,Пероральные твердые обычные,"Таблетки, покрытые оболочкой",0.8141592920353983,1.92,1603.17
28753,813369,2024-12-16,1.0,923.6,"ЭДОКСАКОРД, Киевский витаминный завод АО (Украина, Киев), табл. п/плен. оболочкой 60 мг блистер, #30",ЭДОКСАБАН,790221.0,Пероральные твердые обычные,"Таблетки, покрытые оболочкой",0.8141592920353983,1.15,1007.36
28753,813369,2024-12-23,0.0,0.0,"ЭДОКСАКОРД, Киевский витаминный завод АО (Украина, Киев), табл. п/плен. оболочкой 60 мг блистер, #30",ЭДОКСАБАН,790221.0,Пероральные твердые обычные,"Таблетки, покрытые оболочкой",0.8141592920353983,1.23,1088.43
28753,813369,2024-12-30,0.0,0.0,"ЭДОКСАКОРД, Киевский витаминный завод АО (Украина, Киев), табл. п/плен. оболочкой 60 мг блистер, #30",ЭДОКСАБАН,790221.0,Пероральные твердые обычные,"Таблетки, покрытые оболочкой",0.8141592920353983,1.9,1552.9
28753,813369,2025-01-06,0.0,0.0,"ЭДОКСАКОРД, Киевский витаминный завод АО (Украина, Киев), табл. п/плен. оболочкой 60 мг блистер, #30",ЭДОКСАБАН,790221.0,Пероральные твердые обычные,"Таблетки, покрытые оболочкой",0.8141592920353983,2.3,1838.2700000000002
28753,813369,2025-01-13,0.0,0.0,"ЭДОКСАКОРД, Киевский витаминный завод АО (Украина, Киев), табл. п/плен. оболочкой 60 мг блистер, #30",ЭДОКСАБАН,790221.0,Пероральные твердые обычные,"Таблетки, покрытые оболочкой",0.8141592920353983,0.33,280.86
