CLIENT_ID,METRIC,VALUE
1336951,UNIQUE_STOCKOUT_DRUGS,262.0
1336951,UNIQUE_SUBSTITUTES,338.0
1336951,TOTAL_PAIRS,4911.0
1336951,TOTAL_LIFT,55115.26315199
1336951,AVG_SUBSTITUTE_SHARE,5.334962329464467
1336951,MEDIAN_SUBSTITUTE_SHARE,2.2608306102876523
1336951,LIFT_SAME_NFC1,40186.66406028
1336951,LIFT_DIFF_NFC1,14928.59909171
1336951,SHARE_SAME_NFC1_PERCENT,72.91385681940451
1336951,COUNT_SHARE_100,8.0
1336951,COUNT_SHARE_50_99,40.0
1336951,COUNT_SHARE_25_49,130.0
1336951,COUNT_SHARE_10_24,467.0
1336951,COUNT_SHARE_BELOW_10,4266.0
