CLIENT_ID,METRIC,VALUE
28670,UNIQUE_STOCKOUT_DRUGS,123.0
28670,UNIQUE_SUBSTITUTES,158.0
28670,TOTAL_PAIRS,1102.0
28670,TOTAL_LIFT,6505.42496486
28670,AVG_SUBSTITUTE_SHARE,11.161524500907442
28670,MEDIAN_SUBSTITUTE_SHARE,5.033935440285141
28670,LIFT_SAME_NFC1,4815.15139033
28670,LIFT_DIFF_NFC1,1690.2735745300001
28670,SHARE_SAME_NFC1_PERCENT,74.0174764345103
28670,COUNT_SHARE_100,13.0
28670,COUNT_SHARE_50_99,31.0
28670,COUNT_SHARE_25_49,85.0
28670,COUNT_SHARE_10_24,209.0
28670,COUNT_SHARE_BELOW_10,764.0
